callsign,used_runway,runway_time,taxi_time,t_start,t_end
458,3,28.0,451.0,2024-10-22 17:32:36,2024-10-22 17:33:04
459,1,26.0,185.0,2024-10-22 17:42:11,2024-10-22 17:42:37
460,3,57.0,244.0,2024-10-22 17:35:05,2024-10-22 17:36:02
461,1,20.0,133.0,2024-10-22 17:46:37,2024-10-22 17:46:57
462,3,50.0,195.0,2024-10-22 17:38:57,2024-10-22 17:39:47
463,1,28.0,187.0,2024-10-22 17:49:30,2024-10-22 17:49:58
464,1,52.0,1696.0,2024-10-22 18:20:50,2024-10-22 18:21:42
465,3,30.0,126.0,2024-10-22 17:47:18,2024-10-22 17:47:48
466,1,37.0,233.0,2024-10-22 17:58:24,2024-10-22 17:59:01
467,1,31.0,505.0,2024-10-22 18:32:32,2024-10-22 18:33:03
468,1,139.0,255.0,2024-10-22 18:12:39,2024-10-22 18:14:58
469,3,39.0,185.0,2024-10-22 18:07:51,2024-10-22 18:08:30
470,1,47.0,145.0,2024-10-22 18:17:53,2024-10-22 18:18:40
471,1,50.0,171.0,2024-10-22 18:22:41,2024-10-22 18:23:31
472,3,20.0,369.0,2024-10-22 18:12:18,2024-10-22 18:12:38
473,3,17.0,371.0,2024-10-22 18:14:19,2024-10-22 18:14:36
474,1,57.0,329.0,2024-10-22 18:26:31,2024-10-22 18:27:28
475,3,28.0,305.0,2024-10-22 18:16:22,2024-10-22 18:16:50
476,1,26.0,464.0,2024-10-22 18:31:11,2024-10-22 18:31:37
477,3,16.0,88.0,2024-10-22 18:17:49,2024-10-22 18:18:05
478,3,35.0,223.0,2024-10-22 18:19:25,2024-10-22 18:20:00
479,3,32.0,158.0,2024-10-22 18:22:09,2024-10-22 18:22:41
480,3,16.0,274.0,2024-10-22 18:23:28,2024-10-22 18:23:44
481,3,27.0,242.0,2024-10-22 18:25:20,2024-10-22 18:25:47
482,1,82.0,192.0,2024-10-22 18:34:30,2024-10-22 18:35:52
483,3,19.0,112.0,2024-10-22 18:27:01,2024-10-22 18:27:20
484,3,25.0,132.0,2024-10-22 18:29:03,2024-10-22 18:29:28
485,3,18.0,133.0,2024-10-22 18:30:41,2024-10-22 18:30:59
486,3,22.0,128.0,2024-10-22 18:32:46,2024-10-22 18:33:08
487,3,23.0,120.0,2024-10-22 18:34:23,2024-10-22 18:34:46
488,3,26.0,104.0,2024-10-22 18:36:15,2024-10-22 18:36:41
489,3,24.0,170.0,2024-10-22 18:37:52,2024-10-22 18:38:16
490,3,26.0,351.0,2024-10-22 18:39:44,2024-10-22 18:40:10
491,1,29.0,220.0,2024-10-22 18:48:38,2024-10-22 18:49:07
492,3,25.0,134.0,2024-10-22 18:41:26,2024-10-22 18:41:51
493,3,16.0,295.0,2024-10-22 18:42:48,2024-10-22 18:43:04
494,1,34.0,310.0,2024-10-22 18:54:45,2024-10-22 18:55:19
495,1,78.0,373.0,2024-10-22 18:55:36,2024-10-22 18:56:54
496,3,14.0,75.0,2024-10-22 18:44:42,2024-10-22 18:44:56
497,3,25.0,119.0,2024-10-22 18:46:29,2024-10-22 18:46:54
498,1,37.0,328.0,2024-10-22 18:58:17,2024-10-22 18:58:54
499,3,16.0,86.0,2024-10-22 18:48:17,2024-10-22 18:48:33
500,3,14.0,301.0,2024-10-22 18:50:08,2024-10-22 18:50:22
501,3,19.0,191.0,2024-10-22 18:53:33,2024-10-22 18:53:52
502,3,32.0,87.0,2024-10-22 18:57:13,2024-10-22 18:57:45
503,3,20.0,191.0,2024-10-22 19:00:55,2024-10-22 19:01:15
504,3,62.0,60.0,2024-10-22 19:04:51,2024-10-22 19:05:53
505,1,23.0,205.0,2024-10-22 19:14:50,2024-10-22 19:15:13
506,1,49.0,302.0,2024-10-22 19:21:47,2024-10-22 19:22:36
507,1,26.0,201.0,2024-10-22 19:18:49,2024-10-22 19:19:15
508,1,21.0,443.0,2024-10-22 19:28:16,2024-10-22 19:28:37
509,1,103.0,243.0,2024-10-22 19:29:08,2024-10-22 19:30:51
510,1,391.0,334.0,2024-10-22 19:21:59,2024-10-22 19:28:30
511,1,88.0,247.0,2024-10-22 19:31:06,2024-10-22 19:32:34
512,1,54.0,191.0,2024-10-22 19:36:30,2024-10-22 19:37:24
513,1,54.0,151.0,2024-10-22 19:35:15,2024-10-22 19:36:09
514,1,22.0,182.0,2024-10-22 19:34:26,2024-10-22 19:34:48
515,1,59.0,165.0,2024-10-22 19:39:29,2024-10-22 19:40:28
516,1,37.0,267.0,2024-10-22 19:44:07,2024-10-22 19:44:44
517,1,56.0,257.0,2024-10-22 19:37:42,2024-10-22 19:38:38
518,1,32.0,196.0,2024-10-22 19:42:16,2024-10-22 19:42:48
519,1,49.0,375.0,2024-10-22 19:49:29,2024-10-22 19:50:18
520,3,45.0,403.0,2024-10-22 19:36:45,2024-10-22 19:37:30
521,1,33.0,176.0,2024-10-22 19:45:49,2024-10-22 19:46:22
522,1,63.0,253.0,2024-10-22 19:47:58,2024-10-22 19:49:01
523,1,54.0,242.0,2024-10-22 19:46:33,2024-10-22 19:47:27
524,3,23.0,136.0,2024-10-22 19:47:07,2024-10-22 19:47:30
525,3,18.0,171.0,2024-10-22 19:49:54,2024-10-22 19:50:12
526,2,19.0,312.0,2024-10-22 20:03:39,2024-10-22 20:03:58
527,3,45.0,126.0,2024-10-22 19:54:19,2024-10-22 19:55:04
529,1,1318.0,570.0,2024-10-22 20:08:47,2024-10-22 20:30:45
530,3,11.0,291.0,2024-10-22 20:05:36,2024-10-22 20:05:47
