callsign,used_runway,runway_time,t_start,t_end,active_operations
318,2,56.0,2024-10-25 13:15:54,2024-10-25 13:16:50,2
319,3,24.0,2024-10-25 13:08:29,2024-10-25 13:08:53,1
320,3,17.0,2024-10-25 13:10:19,2024-10-25 13:10:36,1
321,2,17.0,2024-10-25 13:23:12,2024-10-25 13:23:29,1
322,3,17.0,2024-10-25 13:13:43,2024-10-25 13:14:00,2
323,3,48.0,2024-10-25 13:15:41,2024-10-25 13:16:29,2
324,3,39.0,2024-10-25 13:18:06,2024-10-25 13:18:45,1
325,2,51.0,2024-10-25 13:37:01,2024-10-25 13:37:52,3
326,2,21.0,2024-10-25 13:32:27,2024-10-25 13:32:48,3
327,2,16.0,2024-10-25 13:30:27,2024-10-25 13:30:43,1
328,2,40.0,2024-10-25 13:35:52,2024-10-25 13:36:32,2
329,3,40.0,2024-10-25 13:24:28,2024-10-25 13:25:08,1
330,2,26.0,2024-10-25 13:41:09,2024-10-25 13:41:35,1
331,3,17.0,2024-10-25 13:28:51,2024-10-25 13:29:08,1
332,2,71.0,2024-10-25 13:41:56,2024-10-25 13:43:07,2
333,3,341.0,2024-10-25 13:31:29,2024-10-25 13:37:10,8
334,3,38.0,2024-10-25 13:31:58,2024-10-25 13:32:36,3
335,3,18.0,2024-10-25 13:34:15,2024-10-25 13:34:33,3
336,2,80.0,2024-10-25 13:43:25,2024-10-25 13:44:45,2
337,3,10.0,2024-10-25 13:35:36,2024-10-25 13:35:46,2
339,3,33.0,2024-10-25 13:37:29,2024-10-25 13:38:02,2
340,3,33.0,2024-10-25 13:42:13,2024-10-25 13:42:46,2
341,2,38.0,2024-10-25 13:52:33,2024-10-25 13:53:11,2
342,3,34.0,2024-10-25 13:44:26,2024-10-25 13:45:00,2
343,3,13.0,2024-10-25 13:46:16,2024-10-25 13:46:29,1
344,3,24.0,2024-10-25 13:52:36,2024-10-25 13:53:00,2
345,2,16.0,2024-10-25 13:57:40,2024-10-25 13:57:56,1
346,3,17.0,2024-10-25 13:59:55,2024-10-25 14:00:12,1
347,1,27.0,2024-10-25 14:12:51,2024-10-25 14:13:18,1
348,1,55.0,2024-10-25 14:23:10,2024-10-25 14:24:05,2
349,1,66.0,2024-10-25 14:17:46,2024-10-25 14:18:52,1
350,1,32.0,2024-10-25 14:16:46,2024-10-25 14:17:18,1
351,1,66.0,2024-10-25 14:19:43,2024-10-25 14:20:49,1
352,1,70.0,2024-10-25 14:24:29,2024-10-25 14:25:39,1
353,1,61.0,2024-10-25 14:26:15,2024-10-25 14:27:16,1
354,3,15.0,2024-10-25 14:14:13,2024-10-25 14:14:28,1
355,1,64.0,2024-10-25 14:21:29,2024-10-25 14:22:33,1
356,3,17.0,2024-10-25 14:15:47,2024-10-25 14:16:04,1
357,1,51.0,2024-10-25 14:29:00,2024-10-25 14:29:51,1
358,1,53.0,2024-10-25 14:27:45,2024-10-25 14:28:38,1
359,1,37.0,2024-10-25 14:30:34,2024-10-25 14:31:11,2
360,1,51.0,2024-10-25 14:32:58,2024-10-25 14:33:49,1
361,1,36.0,2024-10-25 14:34:27,2024-10-25 14:35:03,2
362,1,49.0,2024-10-25 14:31:35,2024-10-25 14:32:24,1
363,3,13.0,2024-10-25 14:23:14,2024-10-25 14:23:27,2
364,1,57.0,2024-10-25 14:35:40,2024-10-25 14:36:37,2
365,3,17.0,2024-10-25 14:25:42,2024-10-25 14:25:59,1
366,1,47.0,2024-10-25 14:38:21,2024-10-25 14:39:08,1
367,1,56.0,2024-10-25 14:36:52,2024-10-25 14:37:48,2
368,3,6.0,2024-10-25 14:30:43,2024-10-25 14:30:49,2
369,3,19.0,2024-10-25 14:32:38,2024-10-25 14:32:57,1
370,1,20.0,2024-10-25 14:44:53,2024-10-25 14:45:13,2
371,3,43.0,2024-10-25 14:34:59,2024-10-25 14:35:42,3
372,1,27.0,2024-10-25 14:41:58,2024-10-25 14:42:25,2
373,3,14.0,2024-10-25 14:37:48,2024-10-25 14:38:02,2
374,1,32.0,2024-10-25 14:50:31,2024-10-25 14:51:03,1
375,3,25.0,2024-10-25 14:39:42,2024-10-25 14:40:07,1
376,3,42.0,2024-10-25 14:41:28,2024-10-25 14:42:10,2
377,3,12.0,2024-10-25 14:43:20,2024-10-25 14:43:32,1
378,1,101.0,2024-10-25 14:51:53,2024-10-25 14:53:34,1
379,3,30.0,2024-10-25 14:44:40,2024-10-25 14:45:10,2
380,3,31.0,2024-10-25 14:48:29,2024-10-25 14:49:00,1
381,1,40.0,2024-10-25 15:02:08,2024-10-25 15:02:48,2
382,3,16.0,2024-10-25 14:54:26,2024-10-25 14:54:42,1
383,3,14.0,2024-10-25 14:56:33,2024-10-25 14:56:47,1
384,3,10.0,2024-10-25 14:58:01,2024-10-25 14:58:11,1
385,3,25.0,2024-10-25 14:59:55,2024-10-25 15:00:20,1
386,3,28.0,2024-10-25 15:01:49,2024-10-25 15:02:17,2
387,3,33.0,2024-10-25 15:03:41,2024-10-25 15:04:14,1
388,3,15.0,2024-10-25 15:05:10,2024-10-25 15:05:25,1
389,3,23.0,2024-10-25 15:07:00,2024-10-25 15:07:23,1
390,3,13.0,2024-10-25 15:10:27,2024-10-25 15:10:40,1
391,3,10.0,2024-10-25 15:11:50,2024-10-25 15:12:00,1
392,1,10.0,2024-10-25 15:20:38,2024-10-25 15:20:48,1
393,3,13.0,2024-10-25 15:13:37,2024-10-25 15:13:50,1
394,3,9.0,2024-10-25 15:15:15,2024-10-25 15:15:24,1
395,1,34.0,2024-10-25 15:23:52,2024-10-25 15:24:26,2
396,3,24.0,2024-10-25 15:16:57,2024-10-25 15:17:21,1
397,1,37.0,2024-10-25 15:25:28,2024-10-25 15:26:05,1
398,3,28.0,2024-10-25 15:18:55,2024-10-25 15:19:23,1
399,3,38.0,2024-10-25 15:21:12,2024-10-25 15:21:50,1
400,1,18.0,2024-10-25 15:28:55,2024-10-25 15:29:13,1
401,1,19.0,2024-10-25 15:32:59,2024-10-25 15:33:18,1
402,3,15.0,2024-10-25 15:24:03,2024-10-25 15:24:18,2
403,1,19.0,2024-10-25 15:30:56,2024-10-25 15:31:15,1
404,1,80.0,2024-10-25 15:33:45,2024-10-25 15:35:05,1
405,1,183.0,2024-10-25 15:37:40,2024-10-25 15:40:43,2
406,1,25.0,2024-10-25 15:36:23,2024-10-25 15:36:48,1
407,3,40.0,2024-10-25 15:30:15,2024-10-25 15:30:55,1
408,1,16.0,2024-10-25 15:38:37,2024-10-25 15:38:53,2
409,1,18.0,2024-10-25 15:45:16,2024-10-25 15:45:34,1
410,1,25.0,2024-10-25 15:53:05,2024-10-25 15:53:30,1
411,1,16.0,2024-10-25 15:51:34,2024-10-25 15:51:50,1
412,1,49.0,2024-10-25 15:54:14,2024-10-25 15:55:03,1
413,3,21.0,2024-10-25 15:49:13,2024-10-25 15:49:34,1
414,1,88.0,2024-10-25 15:59:57,2024-10-25 16:01:25,1
415,1,36.0,2024-10-25 16:02:30,2024-10-25 16:03:06,1
416,1,69.0,2024-10-25 16:06:08,2024-10-25 16:07:17,2
417,1,32.0,2024-10-25 16:05:09,2024-10-25 16:05:41,1
418,1,84.0,2024-10-25 16:10:21,2024-10-25 16:11:45,1
419,1,24.0,2024-10-25 16:08:16,2024-10-25 16:08:40,1
420,3,24.0,2024-10-25 16:04:26,2024-10-25 16:04:50,1
421,3,16.0,2024-10-25 16:06:39,2024-10-25 16:06:55,2
422,1,19.0,2024-10-25 16:14:51,2024-10-25 16:15:10,1
423,1,28.0,2024-10-25 16:17:10,2024-10-25 16:17:38,2
424,3,22.0,2024-10-25 16:11:51,2024-10-25 16:12:13,1
425,1,20.0,2024-10-25 16:20:03,2024-10-25 16:20:23,1
426,1,20.0,2024-10-25 16:36:26,2024-10-25 16:36:46,2
427,1,52.0,2024-10-25 16:25:41,2024-10-25 16:26:33,1
428,3,19.0,2024-10-25 16:16:11,2024-10-25 16:16:30,1
429,3,20.0,2024-10-25 16:17:30,2024-10-25 16:17:50,2
430,1,37.0,2024-10-25 16:28:08,2024-10-25 16:28:45,1
431,3,26.0,2024-10-25 16:27:19,2024-10-25 16:27:45,1
432,1,29.0,2024-10-25 16:39:26,2024-10-25 16:39:55,2
433,3,35.0,2024-10-25 16:29:24,2024-10-25 16:29:59,1
434,1,74.0,2024-10-25 16:44:18,2024-10-25 16:45:32,2
435,1,74.0,2024-10-25 16:42:29,2024-10-25 16:43:43,2
436,1,46.0,2024-10-25 16:40:56,2024-10-25 16:41:42,1
437,1,50.0,2024-10-25 16:46:23,2024-10-25 16:47:13,2
438,3,39.0,2024-10-25 16:36:40,2024-10-25 16:37:19,2
439,3,39.0,2024-10-25 16:39:18,2024-10-25 16:39:57,2
440,3,48.0,2024-10-25 16:43:23,2024-10-25 16:44:11,2
441,1,21.0,2024-10-25 16:55:44,2024-10-25 16:56:05,1
442,1,17.0,2024-10-25 16:53:23,2024-10-25 16:53:40,1
443,3,14.0,2024-10-25 16:45:29,2024-10-25 16:45:43,2
444,1,43.0,2024-10-25 16:56:31,2024-10-25 16:57:14,2
